session_id,DateTime,user_id,product,campaign_id,webpage_id,product_category_1,product_category_2,user_group_id,gender,age_level,user_depth,city_development_index,var_1,is_click
1,2026-07-01 17:08:00,2098,H,C101,W5,5,,4,Male,6,2,1,1,0
2,2026-07-07 04:35:00,3725,I,C104,W5,3,,9,Male,1,1,,0,0
3,2026-07-06 05:40:00,2485,D,C106,W4,5,11,10,Male,3,1,3,1,1
4,2026-07-04 12:15:00,3099,C,C110,W6,4,,4,Male,3,2,3,1,0
5,2026-07-04 11:08:00,2372,A,C108,W1,4,,2,Male,5,2,,1,0
6,2026-07-07 20:51:00,1797,C,C108,W6,5,,11,Male,1,3,4,1,0
7,2026-07-01 16:30:00,3292,C,C106,W6,3,12,2,Male,3,1,2,1,0
8,2026-07-06 13:53:00,3907,H,C102,W4,4,,8,Male,1,3,,0,0
9,2026-07-02 14:40:00,1790,C,C104,W5,2,10,3,Male,5,1,2,1,0
10,2026-07-01 18:04:00,3336,D,C110,W4,5,,2,Female,4,1,1,1,0
11,2026-07-05 05:05:00,1783,H,C101,W2,4,10,10,Male,3,3,,1,0
12,2026-07-08 19:19:00,3150,F,C109,W5,4,13,2,Female,3,3,1,1,0
13,2026-07-06 21:15:00,3367,C,C107,W2,3,11,9,Female,1,2,4,0,0
14,2026-07-07 02:08:00,2348,H,C103,W2,5,14,9,Male,6,1,3,1,0
15,2026-07-06 17:45:00,3210,H,C108,W4,1,,1,Female,4,1,2,0,0
16,2026-07-07 06:55:00,1816,H,C109,W6,1,14,3,Male,2,2,,1,0
17,2026-07-05 02:32:00,1237,C,C101,W3,3,,10,Male,3,2,,1,0
18,2026-07-02 00:35:00,1289,C,C102,W3,4,,7,Male,5,3,2,0,0
19,2026-07-07 17:13:00,2341,I,C107,W1,5,15,2,Male,5,1,2,1,0
20,2026-07-04 14:28:00,3707,C,C110,W1,3,12,12,Male,3,1,,1,0
21,2026-07-05 00:04:00,1382,C,C101,W1,4,,4,Male,2,3,,1,0
22,2026-07-03 23:11:00,2367,D,C107,W1,3,,1,Female,4,1,4,0,0
23,2026-07-02 11:02:00,3112,H,C102,W6,5,,12,Male,4,1,1,0,0
24,2026-07-08 09:56:00,1607,I,C107,W6,4,,1,Female,4,2,,1,0
25,2026-07-07 06:03:00,3164,C,C107,W5,3,,7,Female,1,2,2,1,0
26,2026-07-06 03:37:00,1917,I,C101,W1,5,,12,Female,3,2,3,1,0
27,2026-07-04 05:15:00,3425,A,C107,W1,1,,7,Male,4,3,1,1,0
28,2026-07-07 13:58:00,2737,E,C109,W2,5,,8,Female,6,3,,0,0
29,2026-07-05 08:43:00,2640,H,C109,W4,1,,5,Female,4,1,,1,0
30,2026-07-04 13:08:00,1530,C,C101,W3,2,,2,Female,3,3,2,0,0
31,2026-07-04 14:29:00,2389,C,C103,W3,5,12,7,Male,4,2,1,1,0
32,2026-07-02 19:37:00,3569,C,C103,W2,4,,11,Female,2,1,3,1,0
33,2026-07-01 17:41:00,1058,I,C105,W5,5,,2,Female,1,3,1,1,0
34,2026-07-05 10:28:00,3275,F,C102,W2,4,,11,Male,5,1,2,1,0
35,2026-07-08 02:28:00,2478,I,C109,W1,4,,5,Male,6,2,2,0,0
36,2026-07-01 12:15:00,3158,H,C108,W5,2,10,7,Male,6,3,3,0,0
37,2026-07-07 20:47:00,2989,D,C109,W6,1,,,,,,3,0,1
38,2026-07-07 14:54:00,2296,H,C102,W1,1,,8,Male,1,1,3,1,0
39,2026-07-03 05:08:00,1926,A,C101,W3,2,11,3,Male,6,2,,0,0
